"id_final","name_final","elevation","z_max","z_mean","area_Ha","DV","form_DV","V","source","lon","lat"
"LID 24415","Waiporohita",10.77499961853,3.445,2.1309077169782,6.8112,1.85565258372557,"Concave",145140.386418819,"LERNZmp",173.348359466109,-34.900575377225
"LID 24511","Waihopo",37.735000610352,3.745,0.979065728741701,10.8608,0.784298314078799,"Convex",106334.370667179,"LERNZmp",173.04224466177,-34.7564339206491
"LID 24620","Wahakari",46.115001678467,12.705,6.25460365315273,87.0544,1.47688397949297,"Convex",5444907.68263019,"LERNZmp",172.924343042128,-34.6521431886497
"LID 24628","Morehurehu",17.77499961853,14.815,8.36647636843021,35.0668,1.69419028722853,"Concave",2933855.53516469,"LERNZmp",172.99637030604,-34.6415129696717
"LID 24633","Te Kahika",4.2049999237061,11.075,5.8703235594202,14.0648,1.5901553659829,"Concave",825649.267985332,"LERNZmp",173.001108250846,-34.6237478794787
"LID 25972","Mata Kopae",33.799999237061,1.14,0.54180529148428,19.646,1.42580339864284,"Convex",106443.067565002,"LERNZmp",173.268024338177,-42.7806808291469
"LID 26031",NA,405.396850585938,17,NA,85.2678880071174,NA,NA,NA,"LERNZmp",167.01971582537,-46.0290552917609
"LID 26111","Hauroko",155,462,153.746659248862,7137.4375,0.998354930187414,"Convex",10973571712.2255,"LERNZmp",167.30528717096,-45.9592210880122
"LID 26477","Lake Tennyson",1102,58.62,35.2602980443787,231.2152,1.80451883543391,"Concave",81527168.6439062,"LERNZmp",172.727829480133,-42.199218973036
"LID 26887",NA,852.980773925781,145,NA,2359.81336188697,NA,NA,NA,"LERNZmp",172.640628323764,-41.854402171821
"LID 27762","Rotoiti",620,89.17,45.8509806362072,965.7112,1.54259214880141,"Concave",442788055.313685,"LERNZmp",172.841532239199,-41.8353821794655
"LID 28543","Lake George",3.1016397476196,1.102,0.727775009781397,99.66,1.98123868361542,"Concave",725300.57474814,"LERNZmp",167.858316864191,-46.3575968934295
"LID 29244","Monowai",198,161,77.6080236045825,3301.8676,1.44611224107918,"Convex",2562514186.40006,"LERNZmp",167.473551600431,-45.8565800939713
"LID 35662",NA,58.8585014343262,1,NA,103.70123626474,NA,NA,NA,"LERNZmp",176.702271423714,-39.7814557650127
"LID 36980","Waikopiro",154.73300170898,15.853,8.30009170602258,11.1192,1.57069798259432,"Concave",922903.796976062,"LERNZmp",176.894695385424,-39.2351055442502
"LID 36981",NA,159.814392089844,42,NA,178.644532283268,NA,NA,NA,"LERNZmp",176.893112915456,-39.2226008427556
"LID 38421",NA,4,9.6,NA,393.691121576682,NA,NA,NA,"LERNZmp",170.919262019175,-42.7969497040907
"LID 38502",NA,134,197.8,NA,1473.34797850018,NA,NA,NA,"LERNZmp",171.147024932664,-42.8351269023856
"LID 38665",NA,123.27010345459,25,NA,140.687201510328,NA,NA,NA,"LERNZmp",171.573905848408,-42.6030504820936
"LID 38955",NA,144.789672851562,6.7,NA,212.610884099414,NA,NA,NA,"LERNZmp",171.500459696562,-42.6989649989299
"LID 38974",NA,89,109.3,NA,4057.36167179625,NA,NA,NA,"LERNZmp",171.44048770454,-42.6162094531808
"LID 39297",NA,679.548706054688,38.5,NA,52.4784605626895,NA,NA,NA,"LERNZmp",172.16878745251,-42.7328404261741
"LID 39356","Lake Taylor",588,41.92,23.5051463897652,206.7376,1.68214310995457,"Concave",48593975.5226873,"LERNZmp",172.230121445084,-42.7659695655467
"LID 39357",NA,822.054260253906,21,NA,107.974134056318,NA,NA,NA,"LERNZmp",172.250197414842,-42.761085052331
"LID 39621",NA,249,16.8,NA,499.944664560289,NA,NA,NA,"LERNZmp",171.657126471425,-42.4430193633613
"LID 40050",NA,582,248,NA,4996.80659726418,NA,NA,NA,"LERNZmp",177.107075774371,-38.7590760313033
"LID 40069","Rerewhakaaitu [Awaatua]",435.81057739258,35.541,17.4425754536678,11.49,1.47232003491752,"Convex",2004151.91962643,"LERNZmp",176.488760594058,-38.2882197689946
"LID 40071","Rerewhakaaitu",437.24346923828,18.863,8.4315513421931,520.7408,1.34096665570584,"Convex",43906527.9117471,"LERNZmp",176.500635694419,-38.2940122688057
"LID 40102","Rotoma",318.41439819336,89.134,46.1596915913686,1050.4404,1.55360552397632,"Concave",484880048.991138,"LERNZmp",176.589913003059,-38.0436971833408
"LID 40124",NA,91.9878082275391,52.1,NA,218.093461169069,NA,NA,NA,"LERNZmp",176.817802241515,-38.1460454039236
"LID 40188","Rotoehu",302.96783447266,22.698,16.8150057798388,796.5248,2.22244326987032,"Concave",133935691.15785,"LERNZmp",176.528014259104,-38.0143535523502
"LID 40396",NA,892,75,NA,406.943842679746,NA,NA,NA,"LERNZmp",177.170056185856,-38.7128182005652
"LID 41299","Lake Emma",653.20501708984,3.135,1.96064412932084,167.6876,1.87621447781899,"Concave",3287757.08499901,"LERNZmp",171.108280115264,-43.635573201649
